id;calle3;numero;depto_normal;manzana_normal;lote_normal
349025;BøVALLE DEL SOL M:E;S/N;C:12;;
349026;Bø 30 VIV.MZ:A CS:21;S/N;;;
349027;BøEL LINCE MZ.16 C.27;S/N;;;
349028;BøJ.F.BOGADO M:M C:8;S/N;;;
349029;Bø544 VIV. MZ.N CS.4;S/N;;;
349030;BøSAN LUIS XV MZ:;S/N;CC:21;;
349031;Bø 544 VIV.M:;S/N;BC:21;;
349032;BøFELIX BOGADO M:B C:6;S/N;;;
349033;Bø J DEL SUR MZ:D CS:13;S/N;;;
349034;BøEL LINCE M:35 C:09;S/N;;;
349035;FRESNOS AMERIC. M.C DTO.8;S/N;;;
349036;Bø J.DE DIOS GARRO M:;S/N;Ñ C11;;
349037;B° EL LINCE MZ.21 CS.21;S/N;;;
349038;B°L.RODRIGUEZ MZ.C CS.17;S/N;;MZ.C;
349039;Bø J.F.BOGADO.M:;S/N;KC7;;
349040;Bø EL HORNERO I;S/N;F-24;;
349041;B° PUCARA MZ.B C.18;S/N;;MZ.B;
349042;Bø FELIX BOGADO MZA:C;S/N;C:9;;
349043;Bø EL HORNERO M:;S/N;F C10;;
349044;B° EL LINCE MZ.32 CS.2;S/N;;;
349045;B°L.RODRIGUEZ MZ.D CS.16;S/N;;MZ.D;
349046;B°200 VDAS MUNUCIPAL MZ B;S/N;C.24;;
349047;B° JARDIN DEL SUR M:E;S/N;C:18;;
349048;B° EL HORNERO MZ.J CS.10;S/N;;;
349049;B° L.RODRIGUEZ MZ.T CS.2;S/N;;;
349050;Bø M.TORO M:;S/N;CC:11;;
349051;B°200 VIV MUNICIPALES M:B;S/N;C:5;;
349052;B° M.LEZCANO MZ.F CS.1;S/N;;MZ.F;
349053;Bø J D DIOS GARRO M:A C:9;S/N;;;
349054;B° JOV PROFESIONALES M: C;S/N;C: 23;;
349055;B° EL LINCE MZ: 14;S/N;C:18;;
349056;Bø SAN LUIS XXIII M:;S/N;E C20;;
349057;B° J.DE DIOS GARRO MZ: B;S/N;C: 6;;
349058;TIBILETTI CALLE 45;S/N;557;;
349059;B° FELIX BOGADO MZ: L;S/N;C:5;;
349060;B° EL HORNERO M:I C:21;S/N;;;
349061;FRESNOS AMERICANOS;S/N;B C26;;
349062;Bø M.LEZCANO MZ:;S/N;IC:23;;
349063;B° PUCARA MZ.C;S/N;C.01;MZ.C;
349064;B° L.RODRIGUEZ MZ.V CS.15;S/N;;;
349065;B° SAN LUIS XV MN.15 CS.2;S/N;;;
349066;B° 109 VIV. M:;S/N;BC:3;;
349067;B° 544 VV M: F;S/N;C:9;;
349068;B° 544 VIV. MZ.D CS.7;S/N;;MZ D;
349069;B° EL HORNERO M:G C:14;S/N;;;
349070;Bø PADRE MUJICA;S/N;G C:9;;
349071;B° 109 VDAS MZ.D CS.8;S/N;;MZ.D;
349072;Bø PUCARA;S/N;C C:4;;
349073;B° J.F.BOGADO MZ:;S/N;J C:7;;
349074;B° J.F.BOGADO MZ:;S/N;J C:7;;
349075;B° JOVENES 25/35 M:;S/N;D C20;;
349076;B°L.RODRIGUEZ MZ.G C.2;S/N;;MZ.G;
349077;Bø J DE DIOS GARRO M:;S/N;A.C7;;
349078;B° L.RODRIGUEZ MZ.8 CS.20;S/N;;;
349079;B° 80 VIV. M:;S/N;B C21;;
349080;B° M.LEZCANO M:;S/N;E.C14;;
349081;B° M.TORO MZ.E CS.16;S/N;;MZ.E;
349082;B° EL HORNERO MZ:D CS:22;S/N;;;
349083;Bø F.BOGADO MZ.I CS.9;S/N;;MZ.I;
349084;RUTA 3 KM 4 LOTE 60;S/N;S/N;;
349085;B° M.LEZCANO M:;S/N;Ñ C:9;;
349086;B° PUCARA MZ:F C:7;S/N;;;
349087;B°544 VIV. MZA E;S/N;C:21;;
349088;SERRANIAS PUNTANAS M:229;S/N;C:19;;
349089;Bø EL HORNERO M:H;S/N;C:11;;
349090;RUTA PROV.Nø 3;S/N;K.1.6;;
349091;Bø F.AMERICANOS M:A C:20;S/N;;;
349092;RUTA 146 KM:6;S/N;;;
349093;Bø 544 VIV. M:;S/N;N C14;;
349094;B°S.LUIS XXIII MZ.E C.24;S/N;;MZ.E;
349095;B°EL LINCE MZ.18 C.3;S/N;;;
349096;B°JARDIN DEL SUR MZ E C14;S/N;;;
349097;B°SAN LUIS XV MZ I CASA 2;S/N;;;
349098;B°JARDIN SUR MZA H CASA 9;S/N;;;
349099;B°J.D.D.GARRO MZ.C3 C.10;S/N;;MZ.C;
349100;B°544 VIV. M:N C:19;S/N;;;
349101;B° 544 VIV. M:C C:9;S/N;;;
349102;Bø 109 VIV M:E;S/N;C:08;;
349103;B° 500 V. SUR M: 148 C: 1;S/N;;;
349104;Bø 544 VIV. M:;S/N;L C:3;;
349105;B° L RODRIGUEZ M:W C:13;S/N;;;
349106;BøM.DEL PORTEZUELO M:;S/N;14C10;;
349107;B° 200 VIV. M:;S/N;B C26;;
349108;BøS.LUIS XXIII MZ.D C.27;S/N;;MZ.D;
349109;BøM.TORO MN.0 C.01;S/N;;;
349110;BøE.DEL SUR M:;S/N;B.C21;;
349111;Bø M.TORO M:;S/N;D C13;;
349112;RUTA NACIONAL 146 KM 29;S/N;SUR;;
349113;B° SAN LUIS 15 M:J;S/N;C:14;;
349114;Bø SAN LUIS 15 M:;S/N;C C24;;
349115;Bø SAN LUIS XV M:;S/N;G C14;;
349116;BøF.AMERICANOS MZ:77 CS:5;S/N;;;
349117;B°F.BOGADO MZ:;S/N;J C:8;;
349118;BøS.LUIS 15 MZ.B C.6;S/N;;MZ.B;
349119;B°M.LEZCANO M:.H C: 8;S/N;;;
349120;Bø S.LUIS XV MZ G CS 2;S/N;;;
349121;BøEL LINCE MN.24 C.22;S/N;;;
349122;BøEL LINCE MN.20 C.22;S/N;;;
349123;BøEL LINCE M:23 C:20;S/N;;;
349124;BøJ.DEL SUR MN.B.C.12;S/N;;;
349125;Bø F.BOGADO MZ R CS 19;S/N;;;
349126;B° F AMERICANOS MZ B C.12;S/N;;;
349127;BøJ.D.D.GARRO MN-F6.C.1;S/N;;;
349128;Bø SAN LUIS XXIII MZ:E;S/N;C.1;;
349129;B° 114 VDAS M:193;S/N;C:01;;
349130;B° M.TORO MZ I CS 12;S/N;;;
349131;Bø M LESCANO M: A;S/N;C:06;;
349132;B° EL HORNERO, MON 1 PB 6;S/N;;;
349133;Bø J.DE DIOS GARRO;S/N;B C24;;
349134;B° PLAN JOVENES 25/35 M:;S/N;B C:3;;
349135;Bø M.LEZCANO;S/N;H C:7;;
349136;BøEL LINCE MN.16 C.08;S/N;;;
349137;BøJ.D.D.GARRO MN.Ñ.C.5;S/N;;;
349138;FELIX BOGADO M:;S/N;BC:01;;
349139;Bø544VIV MN.N.C.30;S/N;;;
349140;Bø.F.BOGADO M:D C:15;S/N;;;
349141;CALLE 41 PJE.2217;S/N;C:3;;
349142;MAXIMILIANO TORO MZA N;S/N;C:4;;
349143;Bø 544VIV M:K C:25;S/N;;;
349144;BøJ.DEL SUR MN.B.CASA 10;S/N;;;
349145;B° M.DEL PORTEZUELO M:;S/N;5 C:6;;
349146;BøUNION CASA 38;S/N;;;
349147;BøL.RODRIGUEZ MN.U.C.5;S/N;;;
349148;Bø544VIV M:N C_31;S/N;;;
349149;Bø J.F.BOGADO;S/N;E C10;;
349150;BøPUCARA MZ.E C.8;S/N;;MZ.E;
349151;BøEL LINCE MN.32 CASA 7;S/N;;;
349152;BøPEDRO PAYER MZ.4 CS.2;S/N;;;
349153;BøJ.D.GARRO M:;S/N;D C12;;
349154;Bø EL LINCE MZ.34 CS.4;S/N;;;
349155;Bø SAN LUIS XXIII M:;S/N;EC:11;;
349156;Bø 109 VIV.MZ.E CASA 1;S/N;;MZ.E;
349157;B° VIRGEN DE LUJAN M:;S/N;AC:08;;
349158;B° FELIX BOGADO M:LL;S/N;C:12;;
349159;B° JUVENES 25/35 M:;S/N;B C10;;
349160;BøF.BOGADO MZ.J CS.9;S/N;;;
349161;B° 544 VIV. MZA L;S/N;C:16;;
349162;Bø M.LEZCANO;S/N;MAC12;;
349163;Bø SAN LUIS XV(15) M:M;S/N;C:6;;
349164;BøPUCARA M:;S/N;A.C12;;
349165;B° 80 VIV. M:;S/N;C C:8;;
349166;BøJ.D.D GARRO MN.J;S/N;C:06;;
349167;Bø VIRGEN DE LUJAN M:;S/N;A C12;;
349168;Bø S.LUIS XXIII M:C C:3;S/N;;;
349169;Bø M.TORO M:K C:17;S/N;;;
349170;Bø J.DEL SUR M:;S/N;I C12;;
349171;RUTA NAC.NØ146;S/N;KM6;;
349172;Bø 544 VIV.;S/N;I CS1;;
349173;BøL.RODRIGUEZ MZA R CS 23;S/N;;;
349174;SAN LUIS XV M:;S/N;BC:9;;
349175;B° EL LINCE MZ.31 CS.1;S/N;;;
349176;B° EL LINCE MZ.40 CS.21;S/N;;;
349177;B° L.RODRIGUEZ M:;S/N;R C:2;;
349178;B° L.RODRIGUEZ M:;S/N;Z C25;;
349179;B° 544 VIV. M:P;S/N;C:21;;
349180;B° 544 VIV.MZ.E;S/N;C.07;MZ E;
349181;Bø 30 VIVIENDAS M:A C:2;S/N;;;
349182;B° PUCARA M:;S/N;A C31;;
349183;B° PUCARA;S/N;E C10;;
349184;B° JARDIN DEL SUR MZ.I CS;S/N;S.25;MZ.I;
349185;B° EL HORNERO MZ.C CS.3;S/N;;MZ.C;
349186;B°EL HORNERO MZ.3 CS.14;S/N;;;
349187;Bø J.DE DIOS GARRO M:;S/N;Ñ C25;;
349188;Bø 544 VIV. M:;S/N;P.C10;;
349189;B° EL LINCE M:24 C:7;S/N;;;
349190;RUTA NAC NØ146 KM 6;S/N;;;
349191;B° M.TORO MZ.L;S/N;C:13;;
349192;B° SAN LUIS XV(15) MZ.B C;S/N;CS.7;MZ.B;
349193;RUTA NAC.NØ146;S/N;KM6;;
349194;B° PUCARA MZ.L CS.10;S/N;;;
349195;B° J.F.BOGADO M:N;S/N;C:26;;
349196;B° M.LEZCANO;S/N;H C08;;
349197;B° V.DE LUJAN MZ:B CS:38;S/N;;;
349198;Bø EL HORNERO M:;S/N;E C20;;
349199;B° 110 VIV. MZ.191 CS.10;S/N;;;
349200;B° 109 VIV.M:C C:2;S/N;;;
349201;B° EL HORNERO MZ.8 CS.11;S/N;;;
349202;B° 544 VIV. M:;S/N;E C14;;
349203;B° L.RODRIGUEZ MZ.X CS.8;S/N;;;
349204;B° EL LINCE MZ.36 CS.17;S/N;;;
349205;B° M.TORO MZ.E CS.15;S/N;;MZ.E;
349206;B° EL LINCE MZ.15 CS.22;S/N;;;
349207;B° VIRGEN DE LUJAN CS.20;S/N;;;
349208;B° F.AMERICANOS M:;S/N;B C:5;;
349209;B° ESTRELLA DEL SUR MZA A;S/N;C.09;;
349210;Bø SAN LUIS XV(15);S/N;MLC21;;
349211;Bø 544 VIV.M:;S/N;B C25;;
349212;B° S. PUNTANAS M:46 C:20;S/N;;;
349213;B° MUNICIPAL M:;S/N;A C:7;;
349214;B° SAN LUIS XV M M;S/N;C:17;;
349215;BøEL HORNERO M:E C:5;S/N;;;
349216;RUTA 3 KM.4 CPO.DON PACIF;S/N;;;
349217;Bø V.DE LUJAN MZ:B;S/N;C.07;;
349218;B°EL LINCE MZA 26 CASA 12;S/N;;;
349219;Bø V.DEL SOL MZA I CS 20;S/N;;;
349220;B°M.TIBILETTI MZ.5 C.561;S/N;;;
349221;B°SAN LUIS XV MZA E C19;S/N;;;
349222;Bø30 VIV MZA A;S/N;C:19;;
349223;B° SAN LUIS XXIII;S/N;;;
349224;B° TIBILETI CALLE 45 559;S/N;;;
349225;B° 110 VIV. MZ.51 CS.3;S/N;;;
349226;B°EL LINCE MZ.26 C.26;S/N;;;
349227;Bø109 VDAS M:;S/N;D C11;;
349228;B° PLAN JOVEN M:D;S/N;C:20;;
349229;MAXIMILIANO TORO M:;S/N;KC:18;;
349230;B° F.BOGADO MZ.D C.07;S/N;;MZ.D;
349231;Bø PUCARA M:;S/N;D.C:4;;
349232;Bø SAN LUIS XV M:;S/N;B C23;;
349233;Bø FELIX BOGADO MZ:;S/N;LLC:6;;
349234;BøJ.DEL SUR M:D C:22;S/N;;;
349235;BøF.BOGADO MN.E.;S/N;C:18;;
349236;Bø S.LUIS 23 M:D;S/N;C:13;;
349237;B° 110 VDAS M:194;S/N;C:22;;
349238;BøPUCARA MZ.A;S/N;C.16;MZ.A;
349239;BøF.BOGADO M:A;S/N;C:24;;
349240;BøPUCARA;S/N;F C:5;;
349241;B°544 VIV. M:J C:6;S/N;;;
349242;BøF.BOGADO MZ:;S/N;DC:25;;
349243;B° EL LINCE MZ:19 CS:29;S/N;;;
349244;Bø VIRGEN DE LUJAN M:C;S/N;C:19;;
349245;MAXIMILIANO TORO;S/N;LL C9;;
349246;BøFELIX BOGADO M:E CS:24;S/N;;;
349247;B° J D PERON M:;S/N;9 C14;;
349248;BøJ.D.SUR MN.G.CASA 6;S/N;;;
349249;B° S. PUNTANAS M:;S/N;49 C2;;
349250;B° 500 VV. M:124;S/N;C:18;;
349251;B° MAXI TORO M:;S/N;O C16;;
349252;PADRRE MUJICA;S/N;C C:8;;
349253;Bø L.RODRIGUEZ;S/N;XC:2;;
349254;Bø 544 VIV. MZ.D CASA 16;S/N;;MZ D;
349255;BøEL LINCE MN.20 C.19;S/N;;;
349256;BøL.RODRIGUEZ M:;S/N;Z.C23;;
349257;B°.544 VIV MZ:M 9;S/N;;;
349258;Bø544VIV. M: M;S/N;C:14;;
349259;Bø F.BOGADO MZ.K CS.6;S/N;;;
349260;Bø F.BOGADO MZ.A CS. 24;S/N;;MZ.A;
349261;BøPUCARA M: F C: 17;S/N;;;
349262;Bø 544 VDAS MZ. N CS.2;S/N;;;
349263;F.BOGADO M:;S/N;L.C17;;
349264;B° FRESNOS AMERICANOS M:;S/N;A.C2;;
349265;Bø EL LINCE MZ.25 C.4;S/N;;;
349266;Bø 544 VIVIENDAS MZ: N;S/N;C: 25;;
349267;Bø SSERRANIAS PUNT M: 44;S/N;C: 7;;
349268;BøEL.HORNERO MZ.J CS.11;S/N;;;
349269;Bø L.RODRIGUEZ;S/N;C:1;;
349270;BøJ.D.D.GARRO MN.19 C.01;S/N;;;
349271;Bø J.F.BOGADO M:LL;S/N;C:12;;
349272;BøM.LEZCANO MZ.D CASA 9;S/N;;MZ.D;
349273;B° EL HORNERO MZ:C C:22;S/N;;;
349274;B° EL LINCE MZ 18 CS 18;S/N;;;
349275;Bø F.BOGADO MZA.K CS.13;S/N;;;
349276;BøE.DEL SUR MZ.C CS.44;S/N;;MZ.C;
349277;BøJ.F.BOGADO MZ.P CS.2;S/N;;;
349278;Bø F.BOGADO MZA.E;S/N;C.13;;
349279;BøJ.DEL SUR MZ.;S/N;D C:4;;
349280;BøEL LINCE M:39 C:6;S/N;;;
349281;BøJ.F.BOGADO MZ.K CS.26;S/N;;;
349282;SALVADOR ALLENDE;S/N;C:11;;
349283;Bø 544 VIV. M:H;S/N;C:12;;
349284;Bø JARDIN DEL SUR;S/N;I C21;;
349285;Bø L.RODRIGUEZ;S/N;Z 20;;
349286;MAESTRO GONZALEZ;S/N;C:36;;
349287;BøSAN LUIS XV M:;S/N;A C13;;
349288;BøL.RODRIGUEZ M:;S/N;U C:5;;
349289;B° F.BOGADO MZ.E CS.13;S/N;;MZ.E;
349290;BøSAN LUIS XV M:B C:60;S/N;;;
349291;Bø 544 VIV. M:P;S/N;C:30;;
349292;Bø 544 VIV. M:A;S/N;C:04;;
349293;Bø544 VIV. M:V;S/N;C:17;;
349294;S.ALLENDE;S/N;13;;
349295;BøL.RODRIGUEZ MZ.G C.2;S/N;;MZ.G;
349296;B° 80 VV M:C;S/N;C:08;;
349297;Bø M.LEZCANO;S/N;C:9;;
349298;Bø M.LEZCANO;S/N;NC:08;;
349299;BøFELIX BOGADO M:E C:13;S/N;;;
349300;Bø J.DE D.GARROM.'D'4C.26;S/N;;;
349301;BøJ.DEL SUR M:;S/N;C C16;;
349302;Bø J.F.BOGADO M:;S/N;N C13;;
349303;B° J.F.BOGADO MZ.K CS.26;S/N;;;
349304;Bø SAN LUIS XV(15);S/N;MAC7;;
349305;B° S.LUIS 23 MZ.D C.15;S/N;;MZ.D;
349306;B° E.DEL SUR MZ.C;S/N;C.53;MZ.C;
349307;JARDIN DEL SUR M:D;S/N;C:23;;
349308;B° 544 VIV. MZ.J CS.25;S/N;;;
349309;Bø 544 VIV. M:;S/N;QC:17;;
349310;B°J.F.BOGADO MZ.B CS.28;S/N;;MZ.B;
349311;B°EL LINCE MZ.24 CS.9;S/N;;;
349312;B°J.D.D.GARRO MZ.C C.23;S/N;;MZ.C;
349313;Bø M.TORO MZA F CS 26;S/N;;;
349314;M.LEZCANO MZ-Ñ 10;S/N;;;
349315;B° JARDIN DEL SUR M:;S/N;E.C3;;
349316;B° PUCARA MZ.F CS.12;S/N;;MZ.F;
349317;B° L.RODRIGUEZ M:Y;S/N;C:03;;
349318;B° PLAN JOVEN M:;S/N;D C19;;
349319;B° 544 VIV.MZ:;S/N;FC:27;;
349320;B° S.PUNTANAS M:30 C:13;S/N;;;
349321;B°JARDIN DEL SUR M:;S/N;I.C11;;
349322;B° SAN LUIS XXVI(26) MZ.1;S/N;1 CS.;;
349323;B°114 VIV. MZ.193 C.10;S/N;;;
349324;B° PUCARA M:;S/N;B C18;;
349325;B° PUCARA M:;S/N;B.C18;;
349326;B° PUCARA MZ.A CS.21;S/N;;MZ.A;
349327;B° PUCARA M:;S/N;A C35;;
349328;B° 544 VDAS M: F;S/N;C:25;;
349329;Bø J.F.BOGADO;S/N;BC:18;;
349330;B° L.RODRIGUEZ MZ.T CS.1;S/N;;;
349331;B° J.DE DIOS GARRO MZ.L C;S/N;CS.2;;
349332;B° 144 VDAS P.MUJICA MZ A;S/N;C.15;;
349333;B° 544 VIV. MZ.Q CS.4;S/N;;;
349334;Bø SAN LUIS XV(15);S/N;ÑC:15;;
349335;Bø EL HORNERO;S/N;G C:3;;
349336;BøFELIX BOGADO MZA M CS 5;S/N;;;
349337;Bø J.F.BOGADO M:;S/N;M C10;;
349338;B° J.F.BOGADO MZ.D CS.19;S/N;;MZ.D;
349339;B° MAXIMILIANO TORO MZ:;S/N;DC:9;;
349340;B° JARDIN DEL SUR M:;S/N;H C19;;
349341;BøEL LINCE M:16 C:16;S/N;;;
349342;B° EL HORNERO MZ.B CS.22;S/N;;MZ.B;
349343;B° 109 VIV M:B C:1;S/N;;;
349344;RUTA 146 KM 6;S/N;;;
349345;B° M.TORO MZ.I CS.3;S/N;;MZ.I;
349346;Bø J.F.BOGADO;S/N;M:MC1;;
349347;B° PUCARA M: A C. 34;S/N;;;
349348;B° F.BOGADO MZ.A C.3;S/N;;MZ.A;
349349;B°EL HORNERO MZ.2 C.8;S/N;;;
349350;Bø 544 VIV.;S/N;B C15;;
349351;B°SAN LUIS 26 MZ.2 C.25;S/N;;;
349352;B° 109 VIV M:;S/N;B C19;;
349353;B°J.F.BOGADO MZ.LL CS.9;S/N;;;
349354;Bø544 VDAS;S/N;P C:6;;
349355;B° SAN LUIS XXIII M: E;S/N;C:24;;
349356;B° 544 VIV. M:C;S/N;C:18;;
349357;SAN LUIS B;S/N;C C25;;
349358;B°JARDIN DEL SUR;S/N;B C13;;
349359;B°EL HORNERO MZ.A C.12;S/N;;MZ.A;
349360;B°L.RODRIGUEZ MZ.5 C.19;S/N;;;
349361;Bø FRESNOS AMERICANOS;S/N;A C:1;;
349362;Bø M.LEZCANO;S/N;IC:7;;
349363;BøPUCARA M:F C:16;S/N;;;
349364;Bø F.BOGADO M:D C:23;S/N;;;
349365;Bø 544 VIV. M:A;S/N;C:7;;
349366;B° MAXIMILIANO TORO M:;S/N;FC:19;;
349367;Bø200 V.MUNICIPAL M:;S/N;A C24;;
349368;BøS.LUIS XV MZ.C CS.8;S/N;;MZ.C;
349369;BøSAN LUIS XV MN.B.C.19;S/N;;;
349370;BøEL LINCE MZ.17 CASA 30;S/N;;;
349371;B°EL LINCE MZ.40 CASA 24;S/N;;;
349372;B° 144 VIV. M:;S/N;E C:8;;
349373;B° S PUNTANAS M:53 C:6;S/N;;;
349374;CHACHO PEÑALOZA;S/N;1540;;
349375;BøF.BOGADO M:E C:26;S/N;;;
349376;BØE DEL SUR MZ.B CS.20;S/N;;MZ.B;
349377;Bø EL LINCE MZ.40 CS.18;S/N;;;
349378;BøM.LEZCANO MZ.E CS.8;S/N;;MZ.E;
349379;BøJ.DEL SUR-MZ.B-C.3;S/N;;MZ.B;
349380;BøFRESNOS AMERICANOS M:B;S/N;C: 13;;
349381;BøF.BOGADO MZ.A CS.9;S/N;;MZ.A;
349382;AV.J.A.ROCA Y PEÑALOZA;S/N;;;
349383;Bø EL LINCE MZ.25 CS. 21;S/N;;;
349384;Bø LUCAS RODRIGUEZ;S/N;P C13;;
349385;Bø L.RODRIGUEZ M:Z;S/N;C:5;;
349386;Bø J.F.BOGADO;S/N;E C16;;
349387;BøEL LINCE MN.20 CASA 21;S/N;;;
349388;Bø30VIV.MN.A.CASA 19;S/N;;;
349389;Bø L.RODRIGUEZ M:;S/N;V C13;;
349390;BøL.RODRIGUEZ MN.W CASA 2;S/N;;;
349391;Bø FELIX BOGADO MZ:D;S/N;C:25;;
349392;Bø EL LINCE M:26 C:22;S/N;;;
349393;Bø 544 VIV. M:;S/N;K.C21;;
349394;Bø 544 VIV. M:;S/N;Q.C12;;
349395;Bø V.DE LUJAN MZ.C CS.37;S/N;;MZ.C;
349396;Bø EL HORNERO MONO EL HOR;S/N;;;
349397;Bø 544 VIV. M:R;S/N;C:24;;
349398;BøEL LINCE MN.17 CASA 30;S/N;;;
349399;Bø EL LINCE MZ.31 C.6;S/N;;;
349400;BøJARDIN SUR MN.E CASA 3;S/N;;;
349401;B° EL HORNERO ASCASUBI M:;S/N;DC:21;;
349402;BøEL LINCE MN.19 CASA 17;S/N;;;
349403;Bø JOVENES M:;S/N;A C13;;
349404;B° FELIX BOGADO M:;S/N;H C:3;;
349405;B° 110 VIV. MZ.194 CS.16;S/N;;;
349406;BøL.RODRIGUEZ MZ:R CS:23;S/N;;;
349407;Bø P.PAYER MZ.4 CS.1;S/N;;;
349408;Bø F.BOGADO MZ.C C.13;S/N;;MZ.C;
349409;Bø SAN LUIS XXIII M:;S/N;B.C23;;
349410;B° 544 VIV. MZ.J CS.5;S/N;;;
349411;B°544 VIV M: P;S/N;C:19;;
349412;B° 114 VIV. MZ.193 CS.13;S/N;;;
349413;B° JARDIN DEL SUR M:;S/N;EC900;;
349414;RIOBAMBA EXTREMOS SUR;S/N;S/N;;
349415;B°110 VIV. MZ.191 CS.10;S/N;;;
349416;B° EL LINCE MZ.26 CS.32;S/N;;;
349417;B° EL LINCE MZ.15 CS.11;S/N;;;
349418;B° 544 VIV. MZ.E CS.26;S/N;;MZ E;
349419;B°LOS FRESNOS AME. MZ.A;S/N;C.08;MZ.A;
349420;B° SAN LUIS XV MZ.Ñ CS.17;S/N;;;
349421;B° JARDIN SUR M:;S/N;D C20;;
349422;B° VALLE DEL SOL M:;S/N;F C:4;;
349423;Bø114 VIV M:187 C:22;S/N;;;
349424;B° S.PUNTANAS M:249 C:6;S/N;;;
349425;B°J.DEL SUR M: B;S/N;C:5;;
349426;Bø SAN LUIS XV;S/N;F C14;;
349427;B° EL HORNERO MZ:7 CS:11;S/N;;;
349428;B° 544 VIV. MZ.P CS.6;S/N;;;
349429;Bø 544 VIV.M:;S/N;AC:24;;
349430;Bø M.LEZCANO;S/N;MÑC9;;
349431;B° M.TIBILETTI CALLE 41;S/N;1421;;
349432;B° EL HORNERO M:;S/N;F C10;;
349433;EL HORNERO II MA.8 CS.12;S/N;;;
349434;GRAN.JOSE BURGOS S/N;S/N;;;
349435;Bø M.LEZCANO M:Ñ;S/N;C:2;;
349436;B° FELIX BOGADO;S/N;H  7;;
349437;Bø SAN LUIS XV M:;S/N;K C15;;
349438;Bø 544 VIV.M:;S/N;AC:12;;
349439;Bø 544 VIV. M:;S/N;RC:29;;
349440;B°SAN LUIS XV- MZ.F;S/N;CS.12;MZ.F;
349441;SAN LUIS XXIII MZA:D;S/N;CS:03;;
349442;B° 544 VIV.MZ:N CS:10;S/N;;;
349443;B PUCARA MZ:F CS:22;S/N;;;
349444;CHACHO PEÑALOZA M. B;S/N;C:26;;
349445;B° SERRANIAS PUNT M: 144;S/N;C: 16;;
349446;B° EL LINCE MZ.32 CS.02;S/N;;;
349447;Bø EL LINCE MZA 18 CS 19;S/N;;;
349448;B° M.TIBILETTI MZ:2 CS:41;S/N;;;
349449;B° EL LINCE MZ.39 CS.14;S/N;;;
349450;B° 110 VIV.MZ 194 CS 13;S/N;;;
349451;B° EL HORNERO MZ.C CS.8;S/N;;MZ.C;
349452;80 VDAS MZA A;S/N;C.07;;
349453;EL LINCE MZ:14;S/N;CS.4;;
349454;Bø J.DE DIOS GARRO;S/N;A1 25;;
349455;B° M.TORO MZ.D CS.5;S/N;;MZ.D;
349456;B° 109 VIV MZ.C C.7;S/N;;MZ.C;
349457;B° J.P.PAYER MZ.3 CS.13;S/N;;;
349458;Bø SAN LUIS XV(15);S/N;C C17;;
349459;Bø EL HORNERO;S/N;GC:05;;
349460;B° 80 VIV M:;S/N;AC:05;;
349461;Bø M.LEZCANO MZ.C CASA 15;S/N;;MZ.C;
349462;B°L.RODRIGUEZ MZ:;S/N;TC:12;;
349463;Bø M.TORO MZ.A CS 13;S/N;;MZ.A;
349464;B°109 VIV. MZ.A C.21;S/N;;MZ.A;
349465;B° EL HORNERO MB.1;S/N;S/N;;
349466;B°J.DE D.GARRO MZ.M C.24;S/N;;;
349467;B° 144 VV M:C;S/N;C:17;;
349468;B°JARDIN SUR MZ.G C.14;S/N;;MZ.G;
349469;Bø 544 VDAS M:;S/N;RC:25;;
349470;B° MANUEL LEZCANO MZ:;S/N;BC2 1;;
349471;BøJARDIN DEL SUR M:E C:6;S/N;;;
349472;Bø500 VIV SUR M:165 C:8;S/N;;;
349473;Bø EL HORNERO;S/N;B C:3;;
349474;Bø 544 VIV. M:E;S/N;C:26;;
349475;BøJ.DE D.GARRO M:A;S/N;C:3;;
349476;BøEL HORNERO MZ:H CS:12;S/N;;;
349477;BøEL HORNERO M:7 C:12;S/N;;;
349478;BøF.BOGADO MZ.D CS.10;S/N;;MZ.D;
349479;NESTOR KIRCHSNER;S/N;S/N;;
349480;RUTA 146 KM.2.5;S/N;;;
349481;BøFELIX BOGADO MZ:C;S/N;C: 10;;
349482;BøEL LINCE MZ.39 CS.32;S/N;;;
349483;B°S.LUIS XXVI MZ.2 CASA 8;S/N;;;
349484;Bø 544 VIV.M:;S/N;O C:2;;
349485;Bø 114 VIV.MZ:187 CS:18;S/N;;;
349486;JUAN DE DIOS GARRO M;S/N;HC:04;;
349487;B° V.DE LUJAN M:;S/N;B C:7;;
349488;BøJ. DE DIOS GARRO M:A1;S/N;C:14;;
349489;B° VIRGEN DE LUJAN MZA:C;S/N;C:12;;
349490;B° 544 VIV MZ.L;S/N;C.15;;
349491;Bø SAN LUIS 15 MZ:K CS:1;S/N;;;
349492;Bø 109 VIV. MZA.B CASA 10;S/N;B:C10;;
349493;B° 109 VIV.MZ:E CS:13;S/N;;;
349494;B° SAN LUIS 23 VV M:D;S/N;19;;
349495;Bø144 VIV M:188 C:10;S/N;;;
349496;BøS.LUIS XXVI M:1 C:3;S/N;;;
349497;BøEL HORNERO MN:F;S/N;C:12;;
349498;BøF.BOGADO MN.L.CASA 21;S/N;;;
349499;BøJUAN D.D.GARRO M:D4;S/N;C:21;;
349500;PJE.RONEU;S/N;57C18;;
349501;BøSAN LUIS XV MZ. M;S/N;C.11;;
349502;Bø EL HORNERO MZ. Z CS.5;S/N;;;
